% Device,CC2240001
% File name,CC2240001_20230928_120545
% Cast time (UTC),2023-09-28 12:05:45
% Cast time (local),2023-09-28 14:05:45
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.8640471
% Start longitude,10.7007068
% Start altitude,46.798000335693359
% Start GPS horizontal error(Meter),1.75
% Start GPS vertical error(Meter),3.0759999752044678
% Start GPS number of satellites,12
% End latitude,59.8639097
% End longitude,10.7002239
% End altitude,42.25
% End GPS horizontal error(Meter),4.2420001029968262
% End GPS vertical error(Meter),7.2940001487731934
% End GPS number of satellites,12
% Cast duration (Seconds),326
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2022-10-07
% Temperature calibration date,2022-10-07
% Pressure calibration date,2022-10-04
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15091118119856464,15.593458827684261,23034.093749999996,28371.681565468149,17.335018452715484,1488.1575664389118,1012.289349781237
0.44999999999999996,0.4527149411351557,15.593557700752312,23088.183309880704,28438.235791110292,17.379456722073691,1488.2139637523767,1012.3246857302484
0.74999999999999989,0.75452124336677739,15.588122943373151,23046.116073306381,28390.221574744115,17.347124357492607,1488.163847926952,1012.302362615967
1.05,1.0563320288606708,15.585785696112161,23030.381083484794,28372.471652915352,17.335123358574592,1488.1472950505267,1012.2949949593163
1.35,1.3581460475182481,15.586291555480871,23006.595933846973,28342.816074236904,17.315250975932866,1488.1310155095846,1012.2810586466851
1.65,1.6599579138845864,15.593442353105157,23056.147262930193,28398.856966076608,17.352866614077225,1488.2027106069072,1012.3098172344853
1.9500000000000002,1.9617633621694977,15.598317829329435,23081.448974368675,28426.607564629132,17.371504847928342,1488.2450914833908,1012.3244967045249
2.25,2.2635661031285355,15.609761480611095,23095.09415435445,28435.397441796198,17.37766426157884,1488.2946564827646,1012.3283633865771
2.55,2.5653623035328903,15.609182655719552,23156.658177311656,28511.603365218416,17.428550342808638,1488.3562444768434,1012.3687601508048
2.85,2.8671472442704395,15.613121761116537,23214.276971013649,28579.774176876086,17.474213035349123,1488.4266383745396,1012.4042892590672
